applicant_id,application_date,first_name,last_name,gender,dob,phone_number,email,address,city,state,zip_code,country,education_level,years_of_experience,desired_salary,job_title,status
1001,2023-06-03,Scott,Sheppard,Male,1992-08-31,421-429-7655x39421,perezjanet@example.org,597 Smith Point,Hollandfort,NV,57588,Micronesia,High School,8,60103.21,Chief Technology Officer,INTERVIEWING
1002,2023-05-15,Stanley,Lewis,Male,1965-04-29,+1-451-574-5308x1681,grossmark@example.com,8116 Stuart Loop,Port Margaretfurt,TN,14726,Greenland,Bachelor's Degree,17,64575.84,"Designer, furniture",REJECTED
1003,2023-08-04,Javier,Li,Female,1973-03-10,(858)901-5499,katiemaldonado@example.com,5940 Barr Villages Suite 075,Dianaland,TX,4699,China,PhD,20,39422.71,"Sound technician, broadcasting/film/video",REJECTED
1004,2023-07-28,Christopher,Johnston,Other,2001-04-04,(853)681-1839x2010,sheila73@example.com,442 Lewis Mount,Youngfurt,GA,34455,Ghana,High School,8,51045.11,Air cabin crew,REJECTED
1005,2023-06-05,Melissa,Hicks,Other,1978-06-17,364-575-8478x67812,emilypatterson@example.org,95961 Taylor Circles Apt. 169,East Ashleyborough,IN,21014,Solomon Islands,Master's Degree,0,52792.86,Art therapist,INTERVIEWING
1006,2023-07-26,Christian,Maddox,Female,1983-06-14,(894)940-2919,pvelasquez@example.net,3030 Bell Islands,Boonefort,NC,34763,Liberia,Master's Degree,18,97746.62,"Engineer, electronics",IN REVIEW
1007,2023-06-09,Paul,Hammond,Female,1963-08-16,,aclayton@example.net,58473 Jenna Trail,Port Barry,GA,57472,Congo,High School,11,80119.39,"Scientist, research (maths)",OFFERED
1008,2023-07-15,Madison,Williamson,Male,1978-09-07,001-902-992-9557x692,jeffreyellis@example.com,24740 Gregory Stravenue Suite 212,New Luisfort,VA,71682,Pitcairn Islands,Bachelor's Degree,0,41578.78,"Teacher, primary school",OFFERED
1009,2023-06-16,Rachael,Duran,Male,1997-09-11,+1-738-583-6354x63335,hamptontimothy@example.net,375 Flowers Well,Amandashire,PW,25218,Spain,High School,15,44489.6,Phytotherapist,INTERVIEWING
1010,2023-05-25,Sherri,Taylor,Male,1983-04-24,915.372.0499,cshaw@example.net,037 Quinn Route,Garrisonmouth,CA,82074,Gabon,Master's Degree,4,97363.53,"Pilot, airline",OFFERED
1011,2023-05-14,Jennifer,Weaver,Other,1998-10-22,852.435.8495,sloankrista@example.org,700 Quinn Green Suite 066,Haileyville,MS,37729,Switzerland,PhD,19,39252.38,Theatre director,IN REVIEW
1012,2023-06-04,Kyle,Blake,Other,2001-03-25,001-527-907-9332x4819,shelia63@example.net,611 Thomas Dam Suite 296,East Melinda,OH,62970,China,Bachelor's Degree,7,79650.82,Corporate treasurer,APPLIED
1013,2023-07-23,James,Bailey,Female,1983-05-12,(606)926-6770,fraziermichelle@example.net,4469 Holt Divide Suite 740,Hahnberg,AZ,61409,Guam,Master's Degree,12,86588.22,Accounting technician,OFFERED
1014,2023-06-12,Heidi,Wood,Male,1965-11-20,(209)368-2818x1932,brentswanson@example.org,527 Jamie Viaduct,Christopherberg,CT,34112,Central African Republic,Bachelor's Degree,9,59082.57,Learning disability nurse,REJECTED
1015,2023-07-04,Johnny,Nguyen,Other,1971-11-23,001-970-594-9559x42440,clarkdawn@example.net,621 Mitchell Glen Apt. 704,Leehaven,WV,82030,Kenya,Bachelor's Degree,2,91301.9,Web designer,REJECTED
1016,2023-07-26,Olivia,Watson,Female,1970-08-09,,rachel98@example.com,3578 Warren Prairie Suite 287,North Ariel,NV,37858,Belize,Master's Degree,2,44515.4,"Scientist, research (physical sciences)",INTERVIEWING
1017,2023-05-16,Anita,Jenkins,Male,2004-01-02,409-660-9413,charles11@example.net,6505 Dawn Burg,Tonyville,DE,54454,Morocco,Master's Degree,20,72554.88,Higher education lecturer,IN REVIEW
1018,2023-06-12,John,Coleman,Female,2005-08-01,332.925.0075x0800,smithashley@example.org,5227 William Groves Apt. 165,South Andrewport,HI,22242,Poland,Bachelor's Degree,20,52923.21,"Merchandiser, retail",OFFERED
1019,2023-06-26,Adam,Best,Other,2001-05-28,(592)449-4498,joe34@example.net,599 Mccoy Estate Apt. 522,Lake Christianshire,ME,84388,Ukraine,PhD,12,47680.62,"Buyer, retail",REJECTED
1020,2023-05-23,Cheryl,Peterson,Male,1990-09-18,001-466-805-0058x769,corey49@example.net,331 James Springs,Gibbsburgh,MH,70864,Costa Rica,Bachelor's Degree,6,36560.41,Water quality scientist,INTERVIEWING
1021,2023-07-03,Rebecca,Jensen,Female,2002-11-16,573-612-6886x9739,jennifer31@example.com,96558 Robert Crest Suite 109,Kathleenfurt,IA,44432,Central African Republic,Master's Degree,15,91333.9,"Optician, dispensing",OFFERED
1022,2023-08-03,Gabriel,Norris,Female,1975-01-16,+1-336-343-6187x705,gibbsjacob@example.net,156 Brandy Mountain,Port Andrewmouth,NJ,15235,United Arab Emirates,Master's Degree,17,35317.87,"Scientist, marine",REJECTED
1023,2023-05-08,Anne,Murphy,Other,1983-10-31,853-255-8266x26434,kristinross@example.net,8136 Theresa Avenue Suite 172,East Natalie,IN,99861,Kyrgyz Republic,PhD,11,66953.69,Armed forces technical officer,REJECTED
1024,2023-06-25,Thomas,Phillips,Other,1965-02-04,(305)772-2998x02932,melvinzimmerman@example.org,5254 Murray Parkway Suite 484,Farrellland,ID,19021,Belgium,PhD,10,52499.44,"Scientist, research (physical sciences)",INTERVIEWING
1025,2023-05-31,Nicholas,Conley,Other,2001-10-10,600.967.3095,jameslucas@example.com,10514 Long Ports Apt. 727,Port Daniel,OR,83798,Micronesia,Master's Degree,15,44240.27,Herpetologist,INTERVIEWING
1026,2023-07-07,Jennifer,Austin,Other,2002-02-03,001-487-829-9532x746,prodriguez@example.com,1253 Monroe Rapid,North Benjaminfurt,AL,36583,Saint Kitts and Nevis,PhD,8,53070.82,"Production assistant, radio",IN REVIEW
1027,2023-06-22,Cory,Miller,Other,1996-06-11,427.370.2512x6194,sandraferrell@example.net,168 Chris Roads Suite 459,Harveyport,OH,8947,Norway,High School,15,75285.32,Publishing rights manager,INTERVIEWING
1028,2023-08-01,Barbara,Lopez,Other,1966-12-01,,lisalee@example.com,901 Erickson Burg,Port Christineborough,CA,76314,Iceland,PhD,19,57262.2,"Designer, television/film set",APPLIED
1029,2023-06-15,Maria,Campbell,Male,1969-12-06,(960)528-9287x86849,juliecarter@example.net,4028 Victoria Trace Suite 510,Camachostad,KY,44349,Macao,Master's Degree,9,98369.62,"Designer, jewellery",INTERVIEWING
1030,2023-07-06,Duane,Lee,Other,1989-10-22,001-266-415-6019x161,jgarrett@example.com,7528 Anderson Locks Suite 143,North Benjamin,NC,28070,Cape Verde,Bachelor's Degree,12,36106.12,Media buyer,APPLIED
1031,2023-07-27,Danny,Jones,Male,1993-08-14,001-259-866-8517x64198,mhenderson@example.com,4322 Joseph Ports Apt. 157,South Johnburgh,IN,44276,Comoros,PhD,17,61638.6,"Designer, textile",IN REVIEW
1032,2023-06-02,Hannah,Moore,Other,1963-12-20,294.389.4316x75007,debra21@example.net,6417 Yoder Summit Apt. 056,Mayoside,DE,94533,Tunisia,Master's Degree,10,58593.41,Commercial horticulturist,OFFERED
1033,2023-05-16,Mckenzie,Howe,Male,2002-08-22,230.888.7183,debra17@example.net,9645 Washington Throughway,Chandlerton,AR,19797,Burkina Faso,Bachelor's Degree,13,80345.63,Food technologist,APPLIED
1034,2023-05-30,Ashley,Williams,Male,1976-03-30,+1-946-933-4961x681,pbarron@example.org,456 Martin Oval Apt. 117,Zavalabury,MN,16709,Bahrain,Bachelor's Degree,6,94817.47,Chartered accountant,OFFERED
1035,2023-07-14,Laura,Randall,Male,1970-09-08,,wallacemark@example.net,8884 Christopher Junctions,North Tammy,GU,98391,Anguilla,PhD,19,82854.39,"Optician, dispensing",APPLIED
1036,2023-05-09,Katherine,Morris,Female,1979-01-26,(984)749-4059,matthewadams@example.net,90800 Michael Lodge,North Michael,DC,18588,Canada,High School,11,43831.75,"Surveyor, rural practice",IN REVIEW
1037,2023-05-18,Martha,Bradford,Male,1980-09-12,(545)518-9685,kellysellers@example.net,1113 April Mountain Suite 431,Oliverhaven,NM,83371,Nauru,Bachelor's Degree,9,88074.11,Dance movement psychotherapist,INTERVIEWING
1038,2023-06-12,Jessica,Martinez,Other,1971-09-04,,thomas12@example.org,699 Rodriguez Greens,Jamesville,ME,45059,United States Virgin Islands,PhD,16,49673.27,Event organiser,REJECTED
1039,2023-06-22,Emily,Myers,Other,1993-09-13,+1-708-518-9313x498,jenniferreyes@example.org,814 Freeman Run,Lake Juan,IA,75775,Jordan,Bachelor's Degree,19,37991.23,"Psychologist, clinical",REJECTED
1040,2023-08-03,Steven,Villa,Male,1993-02-14,,joseph36@example.com,4222 Cooper Ports,West Marissafort,LA,41339,Ghana,Bachelor's Degree,14,75258.56,Dispensing optician,INTERVIEWING
1041,2023-07-18,David,Walker,Female,1968-01-25,364.385.3544x351,jessicaaguirre@example.org,079 Jane Crossing,Port Rickyfort,WI,24323,Cape Verde,PhD,0,56440.24,Health service manager,OFFERED
1042,2023-05-10,Timothy,Rodriguez,Female,1988-06-30,524.599.9460x10219,gloriacruz@example.com,19205 Burke Ports Suite 746,Whitebury,OK,35524,Niger,PhD,14,65868.72,Clinical cytogeneticist,REJECTED
1043,2023-06-21,Kevin,Lucas,Female,1973-12-25,(846)687-4365,robertthompson@example.com,4589 Brittany Grove Suite 096,Gomeztown,MH,21310,Antarctica (the territory South of 60 deg S),PhD,8,77256.91,Sports administrator,OFFERED
1044,2023-05-30,Sarah,Fischer,Other,1993-11-20,(859)447-7321,wjackson@example.com,9332 Kelley Mission,Donshire,PW,66350,Hong Kong,PhD,5,52012.21,"Therapist, nutritional",APPLIED
1045,2023-07-30,Joshua,Weeks,Other,1994-05-27,699-982-2807x65316,telliott@example.org,61766 David Skyway Suite 232,Gonzaleschester,PR,44532,Luxembourg,High School,19,87903.51,Barrister's clerk,IN REVIEW
1046,2023-07-15,Nicholas,Jenkins,Female,1965-12-24,(225)352-3015x07397,lsmith@example.org,338 Evans Coves Suite 568,New Kenneth,MS,93369,Afghanistan,Bachelor's Degree,8,79162.92,"Sound technician, broadcasting/film/video",APPLIED
1047,2023-05-24,Jeremy,Stevens,Female,1994-08-23,,taylormason@example.com,908 Vasquez Knolls,Kathleenview,AK,15637,Holy See (Vatican City State),High School,14,99015.22,Therapeutic radiographer,REJECTED
1048,2023-07-28,Paul,Johnson,Male,1986-07-31,+1-352-506-4850x497,ppowell@example.org,508 Freeman Creek,Freemanbury,ND,53823,Monaco,PhD,7,50437.39,"Engineer, electronics",IN REVIEW
1049,2023-07-04,Jerry,Hernandez,Other,1976-04-07,698-300-1600x23221,upeters@example.com,83202 Ingram Fields,Campbelltown,ME,45037,Marshall Islands,Master's Degree,4,86589.55,"Scientist, research (medical)",APPLIED
1050,2023-06-09,Jason,Abbott,Male,1967-04-30,001-460-617-6814x7252,elizabethtaylor@example.net,1058 Mark Highway,Lake Maryland,NM,41461,Faroe Islands,High School,10,94813.46,"Surveyor, land/geomatics",INTERVIEWING
1051,2023-07-06,Jeffrey,Sellers,Other,1980-09-30,237.531.7564x007,natasha30@example.net,205 Rice Track,Mcbridestad,GU,59610,Bouvet Island (Bouvetoya),High School,10,68968.39,"Surveyor, hydrographic",OFFERED
1052,2023-05-23,Daryl,Brown,Female,2003-07-08,(833)626-3286,bhill@example.com,05460 Laura Ford Apt. 015,Phillipstown,TN,61327,Niue,Bachelor's Degree,7,94839.96,Land/geomatics surveyor,APPLIED
1053,2023-06-04,Justin,Bush,Other,1975-09-26,356.930.7796,pricecarolyn@example.org,392 Daniel Parkways Suite 034,Jessicaview,WI,32426,San Marino,PhD,4,30451.54,Data processing manager,INTERVIEWING
1054,2023-05-28,Lisa,Jackson,Male,1986-12-31,+1-425-444-8670x07900,michaelcooper@example.net,80259 Dixon Prairie,Lake Robertberg,AZ,42440,Cuba,PhD,18,89697.68,Paediatric nurse,APPLIED
1055,2023-07-23,Brad,Vang,Male,1990-01-07,707-602-9095,william40@example.net,7189 Timothy Corner Apt. 711,South Justin,GU,69265,Colombia,PhD,6,36962.77,Chief of Staff,OFFERED
1056,2023-06-22,Brittney,Rubio,Other,2002-02-19,001-234-517-2443x463,susanhickman@example.org,2502 Rollins Haven Apt. 823,Nicolestad,MO,10426,Sweden,Bachelor's Degree,9,94864.14,Site engineer,INTERVIEWING
1057,2023-05-22,Kimberly,Ellis,Female,1982-10-03,(295)752-6970,barrerakathleen@example.com,321 Turner Mews,North Johnland,FM,59371,Western Sahara,Master's Degree,13,87952.33,Armed forces operational officer,IN REVIEW
